name,platform
madden_nfl_2004,ps2
fifa_soccer_2004,ps2
lego_batman_the_videogame,wii
wwe_smackdown_vs_raw_2006,ps2
space_invaders,2600
rock_band,x360
frogger_s_adventures_temple_of_the_frog,gba
lego_indiana_jones_the_original_adventures,wii
call_of_duty_3,wii
rock_band,wii
call_of_duty_black_ops,pc
rock_band,ps3
triple_play_99,ps
adventure,2600
lego_batman_the_videogame,psp
combat,2600
lego_harry_potter_years_5_7,wii
nascar_thunder_2003,ps2
hitman_2_silent_assassin,xb
rock_band,ps2
legacy_of_kain_soul_reaver,ps
donkey_kong_land_iii,gb
air_sea_battle,2600
suikoden_iii,ps2
lego_harry_potter_years_5_7,x360
wheel_of_fortune,ps2
yakuza_4,ps3
lego_harry_potter_years_5_7,ps3
namco_museum,xb
rhythm_heaven,wii
the_lord_of_the_rings_war_in_the_north,x360
madden_nfl_07,psp
mlb_slugfest_20_03,ps2
the_lord_of_the_rings_war_in_the_north,ps3
shaun_white_snowboarding,x360
pes_2009_pro_evolution_soccer,psp
warioware_twisted,gba
madden_nfl_11,wii
test_drive_unlimited_2,x360
the_chronicles_of_narnia_the_lion_the_witch_and_the_wardrobe,gba
lego_harry_potter_years_5_7,ds
monster_hunter_2,ps2
metal_gear_solid_2_substance,xb
test_drive_unlimited_2,ps3
advance_wars_days_of_ruin,ds
the_golden_compass,wii
madden_nfl_06,x360
nascar_dirt_to_daytona,ps2
madden_nfl_2002,xb
def_jam_fight_for_ny,xb
nba_street_vol_2,gc
fishing_derby,2600
wet,x360
sonic_the_hedgehog,ps3
karate,2600
tiger_woods_pga_tour_07,wii
circus_atari,2600
the_chronicles_of_riddick_escape_from_butcher_bay,xb
maze_craze_a_game_of_cops_n_robbers,2600
silent_hill_homecoming,x360
super_breakout,2600
robert_ludlum_s_the_bourne_conspiracy,x360
nhl_slapshot,wii
tera,pc
nfl_gameday_2003,ps2
lego_harry_potter_years_5_7,3ds
harvest_moon_save_the_homeland,ps2
robert_ludlum_s_the_bourne_conspiracy,ps3
silent_hill_homecoming,ps3
hangman,2600
the_golden_compass,psp
nba_live_2003,xb
cubix_robots_for_everyone_clash_n_bash,gba
dragon_ball_z_budokai_tenkaichi_2_jp_sales,wii
tropico_4,x360
tomb_raider_2013,pc
bejeweled_3,ds
custom_robo,n64
final_fantasy_xi,ps2
singularity,x360
dragster,2600
all_star_baseball_2005,ps2
star_wars_jedi_knight_ii_jedi_outcast,xb
slot_machine,2600
the_dukes_of_hazzard_ii_daisy_dukes_it_out,ps
harvest_moon_the_tale_of_two_towns,3ds
nba_live_2003,gc
shrek_the_third,ds
nicktoons_battle_for_volcano_island,gc
haven_call_of_the_king,ps2
unreal_championship_2_the_liandri_conflict,xb
the_chronicles_of_narnia_the_lion_the_witch_and_the_wardrobe,gc
pac_man_fever,gc
the_legend_of_zelda_the_minish_cap_weekly_jp_sales,gba
indy_500,2600
disgaea_3_absence_of_detention,psv
flag_capture,2600
gun,x360
rock_revolution,ps3
lego_harry_potter_years_5_7,psp
college_hoops_2k6,ps2
jonah_lomu_rugby_challenge,ps3
mega_man_x_collection,ps2
bioshock_2,pc
singularity,ps3
danganronpa_trigger_happy_havoc,psp
jet_x20,ps2
tony_hawk_s_downhill_jam,wii
tribes_aerial_assault,ps2
big_beach_sports_2,wii
lego_harry_potter_years_5_7,pc
yu_yu_hakusho_dark_tournament,ps2
ghostbusters_ii,2600
breakaway_iv,2600
robotech_battlecry,xb
move_fitness,ps3
valkyria_chronicles_iii_unrecorded_chronicles,psp
dancedancerevolution_ii,wii
wrc_fia_world_rally_championship,ps3
famista_64,n64
dead_space_3,pc
test_drive_unlimited_2,pc
pet_zombies,3ds
star_trek_legacy,x360
backbreaker,x360
twisted_metal_small_brawl,ps
otomedius_excellent,x360
nba_starting_five,ps2
teen_titans,gba
trauma_team,wii
backbreaker,ps3
james_cameron_s_dark_angel,ps2
sword_of_the_samurai,ps2
splatterhouse,ps3
alone_in_the_dark_the_new_nightmare,ps
vegas_party,wii
jurassic_park_the_game,x360
home_run,2600
ejay_clubworld,ps2
all_star_baseball_2005,xb
bejeweled_3,ps3
our_house_party,wii
wcw_backstage_assault,n64
bejeweled_3,x360
disney_s_cinderella_magical_dreams,gba
transworld_surf,xb
street_fighter_iv,pc
nintendo_puzzle_collection,gc
charm_girls_club_my_fashion_mall,ds
record_of_agarest_war_zero,ps3
rocksmith,pc
super_robot_wars_og_saga_masou_kishin_ii_revelation_of_evil_god,psp
saru_get_you_million_monkeys,ps2
street_hoops,gc
wrc_fia_world_rally_championship,x360
godzilla_destroy_all_monsters_melee,xb
the_daring_game_for_girls,ds
major_league_baseball_2k6,psp
star_trek_conquest,ps2
giftpia,gc
happy_feet_two,ps3
disney_s_chicken_little_ace_in_action,wii
atsumare_power_pro_kun_no_ds_koushien,ds
my_healthy_cooking_coach,ds
happy_feet_two,ds
luminous_arc_2_jp_sales,ds
happy_feet_two,x360
egg_monster_hero,ds
the_daring_game_for_girls,wii
demon_chaos,ps2
samurai_shodown_anthology,psp
action_man_operation_extreme,ps
super_puzzle_fighter_ii,gba
charm_girls_club_my_fashion_show,ds
face_racers_photo_finish,3ds
zero_tsukihami_no_kamen,wii
the_hidden,3ds
get_fit_with_mel_b,x360
rock_revolution,wii
happy_feet_two,wii
mega_man_battle_network_operation_shooting_star,ds
smashing_drive,gc
port_royale_3,ps3
dream_trigger_3d,3ds
dead_island_riptide,pc
yoostar_on_mtv,x360
tornado,ds
mcfarlane_s_evil_prophecy,ps2
drake_of_the_99_dragons,xb
build_a_bear_workshop_friendship_valley,wii
rayman_arena,xb
port_royale_3,x360
national_geographic_challenge,x360
alex_rider_stormbreaker,ds
chou_soujuu_mecha_mg,ds
prinny_can_i_really_be_the_hero_us_sales,psp
combat_elite_wwii_paratroopers,ps2
flip_s_twisted_world,wii
mobile_ops_the_one_year_war,x360
tom_clancy_s_rainbow_six_critical_hour,xb
jewel_link_chronicles_mountains_of_madness,ds
captain_america_super_soldier,wii
mountain_bike_adrenaline,ps2
drill_dozer,gba
captain_america_super_soldier,ds
grid,ds
tour_de_france_2011,x360
reader_rabbit_2nd_grade,wii
monster_hunter_frontier_online,ps3
rollercoaster_tycoon,pc
battle_vs_chess,ps3
the_history_channel_great_battles_medieval,ps3
clockwork_empires,pc
b_l_u_e_legend_of_water,ps
grid,pc
nhl_hitz_pro,gc
luxor_pharaoh_s_challenge,wii
sega_rally_2006,ps2
half_minute_hero_2,psp
housekeeping,ds
major_league_baseball_2k8,psp
sabre_wulf,gba
swords,wii
beyond_the_labyrinth,3ds
bikkuriman_daijiten,ds
majesty_2_the_fantasy_kingdom_sim,x360
fullmetal_alchemist_brotherhood,psp
combat_elite_wwii_paratroopers,xb
samurai_spirits_tenkaichi_kenkakuden,ps2
world_of_tanks,x360
battle_vs_chess,pc
tom_and_jerry_in_war_of_the_whiskers,xb
super_duper_sumos,gba
the_king_of_fighters_maximum_impact_maniax,xb
combat_wings_the_great_battles_of_wwii,wii
tube_slider,gc
umineko_no_naku_koro_ni_san_shinjitsu_to_gensou_no_yasoukyoku,ps3
payout_poker_casino,psp
wii_de_asobu_metroid_prime,wii
legacy_of_ys_books_i_ii,ds
saint,wii
steal_princess,ds
mario_tennis,3ds
runaway_a_twist_of_fate,ds
yu_gi_oh_5d_s_wheelie_breakers_jp_sales,wii
cabela_s_alaskan_adventure,ps2
writing_and_speaking_beautiful_japanese_ds,ds
virtua_quest,ps2
shonen_jump_s_yu_gi_oh_gx_card_almanac,ds
without_warning,xb
pdc_world_championship_darts_2008,ds
dinotopia_the_sunstone_odyssey,gc
jet_impulse,ds
dream_dancer,ds
dance_it_s_your_stage,wii
football_manager_2007,x360
ferrari_the_race_experience,wii
aquaman_battle_for_atlantis,xb
wrc_fia_world_rally_championship,pc
homeworld_remastered_collection,pc
shorts,ds
akb1_48_idol_to_guam_de_koishitara,x360
brothers_in_arms_furious_4,x360
agarest_senki_re_appearance,ps3
pdc_world_championship_darts_2008,psp
freaky_flyers,gc
inversion,pc
hakuouki_shinsengumi_kitan,ps3
virtua_quest,gc
